source_node,target_node,edge_type
CID_145,PMID_274,DRUG_MENTIONED_IN_LITERATURE
CID_149,PMID_278,DRUG_MENTIONED_IN_LITERATURE
CID_150,PMID_280,DRUG_MENTIONED_IN_LITERATURE
CID_151,PMID_279,DRUG_MENTIONED_IN_LITERATURE
CID_152,PMID_281,DRUG_MENTIONED_IN_LITERATURE
CID_153,PMID_282,DRUG_MENTIONED_IN_LITERATURE
CID_154,PMID_283,DRUG_MENTIONED_IN_LITERATURE
CID_155,PMID_284,DRUG_MENTIONED_IN_LITERATURE
CID_156,PMID_285,DRUG_MENTIONED_IN_LITERATURE
CID_157,PMID_286,DRUG_MENTIONED_IN_LITERATURE
CID_158,PMID_287,DRUG_MENTIONED_IN_LITERATURE
CID_159,PMID_288,DRUG_MENTIONED_IN_LITERATURE
CID_160,PMID_289,DRUG_MENTIONED_IN_LITERATURE
CID_161,PMID_292,DRUG_MENTIONED_IN_LITERATURE
CID_162,PMID_293,DRUG_MENTIONED_IN_LITERATURE
CID_163,PMID_295,DRUG_MENTIONED_IN_LITERATURE
CID_164,PMID_296,DRUG_MENTIONED_IN_LITERATURE
CID_165,PMID_297,DRUG_MENTIONED_IN_LITERATURE
CID_166,PMID_298,DRUG_MENTIONED_IN_LITERATURE
CID_167,PMID_325,DRUG_MENTIONED_IN_LITERATURE
CID_168,PMID_329,DRUG_MENTIONED_IN_LITERATURE
CID_169,PMID_330,DRUG_MENTIONED_IN_LITERATURE
CID_172,PMID_331,DRUG_MENTIONED_IN_LITERATURE
CID_173,PMID_332,DRUG_MENTIONED_IN_LITERATURE
CID_174,PMID_334,DRUG_MENTIONED_IN_LITERATURE
CID_175,PMID_333,DRUG_MENTIONED_IN_LITERATURE
CID_176,PMID_336,DRUG_MENTIONED_IN_LITERATURE
CID_177,PMID_337,DRUG_MENTIONED_IN_LITERATURE
CID_178,PMID_338,DRUG_MENTIONED_IN_LITERATURE
CID_179,PMID_339,DRUG_MENTIONED_IN_LITERATURE
CID_180,PMID_340,DRUG_MENTIONED_IN_LITERATURE
CID_181,PMID_342,DRUG_MENTIONED_IN_LITERATURE
CID_182,PMID_343,DRUG_MENTIONED_IN_LITERATURE
CID_183,PMID_344,DRUG_MENTIONED_IN_LITERATURE
CID_184,PMID_345,DRUG_MENTIONED_IN_LITERATURE
CID_185,PMID_346,DRUG_MENTIONED_IN_LITERATURE
CID_186,PMID_350,DRUG_MENTIONED_IN_LITERATURE
CID_187,PMID_349,DRUG_MENTIONED_IN_LITERATURE
CID_188,PMID_353,DRUG_MENTIONED_IN_LITERATURE
CID_189,PMID_354,DRUG_MENTIONED_IN_LITERATURE
CID_190,PMID_356,DRUG_MENTIONED_IN_LITERATURE
CID_191,PMID_357,DRUG_MENTIONED_IN_LITERATURE
CID_192,PMID_358,DRUG_MENTIONED_IN_LITERATURE
CID_193,PMID_359,DRUG_MENTIONED_IN_LITERATURE
CID_194,PMID_360,DRUG_MENTIONED_IN_LITERATURE
CID_195,PMID_361,DRUG_MENTIONED_IN_LITERATURE
CID_196,PMID_362,DRUG_MENTIONED_IN_LITERATURE
CID_197,PMID_364,DRUG_MENTIONED_IN_LITERATURE
CID_198,PMID_363,DRUG_MENTIONED_IN_LITERATURE
CID_199,PMID_365,DRUG_MENTIONED_IN_LITERATURE
CID_200,PMID_366,DRUG_MENTIONED_IN_LITERATURE
CID_201,PMID_368,DRUG_MENTIONED_IN_LITERATURE
CID_202,PMID_369,DRUG_MENTIONED_IN_LITERATURE
CID_203,PMID_367,DRUG_MENTIONED_IN_LITERATURE
CID_204,PMID_370,DRUG_MENTIONED_IN_LITERATURE
CID_205,PMID_372,DRUG_MENTIONED_IN_LITERATURE
CID_206,PMID_371,DRUG_MENTIONED_IN_LITERATURE
CID_207,PMID_373,DRUG_MENTIONED_IN_LITERATURE
CID_208,PMID_374,DRUG_MENTIONED_IN_LITERATURE
