Enzyme,Action,Target_Organ,Next_Step
MAFG,Inhibit,Liver,"Cholestasis, Intrahepatic"
MAGEA1,Inhibit,Liver,"Carcinoma, Hepatocellular"
MAGEA3,Inhibit,Liver,"Carcinoma, Hepatocellular"
MAGEA6,Inhibit,Liver,"Carcinoma, Hepatocellular"
MAGEC2,Inhibit,Liver,"Carcinoma, Hepatocellular"
MAGEE1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
MAGI2,Inhibit,Brain,Neurobehavioral Manifestations
MALAT1,Inhibit,Liver,"Carcinoma, Hepatocellular"
MALAT1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MALAT1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
MALAT1,Inhibit,Liver,Liver Neoplasms
MAML3,Inhibit,Heart,"Heart Defects, Congenital"
MAOA,Inhibit,Liver,End Stage Liver Disease
MAOA,Inhibit,Liver,Hepatic Encephalopathy
MAOB,Inhibit,Liver,Hepatic Encephalopathy
MAP1LC3A,Inhibit,Liver,"Liver Cirrhosis, Experimental"
MAP1LC3B,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MAP2K1,Inhibit,Brain,Brain Ischemia
MAP2K1,Inhibit,Heart,Cardiofaciocutaneous syndrome
MAP2K1,Inhibit,Heart,Heart Failure
MAP2K2,Inhibit,Heart,Cardiofaciocutaneous syndrome
MAP2K7,Inhibit,Heart,Heart Failure
MAP3K5,Inhibit,Heart,Cardiomyopathies
MAP3K5,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MAP3K7,Inhibit,Liver,"Cholestasis, Extrahepatic"
MAP3K8,Inhibit,Liver,"Liver Cirrhosis, Experimental"
MAP3K8,Inhibit,Heart,Myocardial Ischemia
MAPK1,Inhibit,Brain,Brain Ischemia
MAPK1,Inhibit,Heart,Cardiomyopathies
MAPK1,Inhibit,Brain,"Ceroid Lipofuscinosis, Neuronal, 6"
MAPK1,Inhibit,Liver,"Cholestasis, Extrahepatic"
MAPK1,Inhibit,Liver,"Liver Neoplasms, Experimental"
MAPK10,Inhibit,Heart,Heart Failure
MAPK11,Inhibit,Heart,Cardiomyopathies
MAPK14,Inhibit,Heart,Cardiomyopathies
MAPK14,Inhibit,Liver,"Cholestasis, Extrahepatic"
MAPK14,Inhibit,Liver,Hepatic Insufficiency
MAPK14,Inhibit,Liver,Hepatomegaly
MAPK14,Inhibit,Liver,"Liver Cirrhosis, Biliary"
MAPK14,Inhibit,Liver,Liver Neoplasms
MAPK14,Inhibit,Heart,Myocardial Ischemia
MAPK3,Inhibit,Brain,Brain Ischemia
MAPK3,Inhibit,Heart,Cardiomyopathies
MAPK3,Inhibit,Brain,"Ceroid Lipofuscinosis, Neuronal, 6"
MAPK3,Inhibit,Liver,"Cholestasis, Extrahepatic"
MAPK3,Inhibit,Liver,"Liver Neoplasms, Experimental"
MAPK8,Inhibit,Liver,"Cholestasis, Extrahepatic"
MAPK8,Inhibit,Liver,"Liver Failure, Acute"
MAPK9,Inhibit,Liver,"Cholestasis, Extrahepatic"
MAPRE1,Inhibit,Heart,Myocardial Ischemia
MAPT,Inhibit,Liver,"Carcinoma, Hepatocellular"
MAPT,Inhibit,Heart,Cardiomyopathies
MAPT,Inhibit,Brain,Neurodegenerative Diseases
MAPT,Inhibit,Brain,Pick Disease of the Brain
MARCO,Inhibit,Liver,"Carcinoma, Hepatocellular"
MARS1,Inhibit,Liver,INTERSTITIAL LUNG AND LIVER DISEASE
MAT1A,Inhibit,Brain,Brain Diseases
MAT1A,Inhibit,Liver,"Carcinoma, Hepatocellular"
MAT1A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MAT1A,Inhibit,Liver,Fatty Liver
MBOAT2,Inhibit,Liver,Hepatomegaly
MBOAT7,Inhibit,Liver,"Liver Cirrhosis, Alcoholic"
MBP,Inhibit,Brain,Cerebrovascular Disorders
MBP,Inhibit,Brain,Neuromyelitis Optica
MBTPS1,Inhibit,Liver,"Carcinoma, Hepatocellular"
MBTPS2,Inhibit,Liver,"Carcinoma, Hepatocellular"
MCAM,Inhibit,Brain,Neurogenic Inflammation
MCCC1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MCM10,Inhibit,Liver,"Carcinoma, Hepatocellular"
MCM2,Inhibit,Liver,"Carcinoma, Hepatocellular"
MDH1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MDH1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
MDH1,Inhibit,Liver,"Liver Failure, Acute"
ME1,Inhibit,Liver,"Carcinoma, Hepatocellular"
ME1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MECP2,Inhibit,Liver,"Carcinoma, Hepatocellular"
MECP2,Inhibit,Brain,Neurodevelopmental Disorders
MED1,Inhibit,Liver,"Carcinoma, Hepatocellular"
MED1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MED13L,Inhibit,Heart,IMPAIRED INTELLECTUAL DEVELOPMENT AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS
MED13L,Inhibit,Brain,Neurodevelopmental Disorders
MED17,Inhibit,Brain,"MICROCEPHALY, POSTNATAL PROGRESSIVE, WITH SEIZURES AND BRAIN ATROPHY"
MEF2C,Inhibit,Brain,Neurodevelopmental Disorders
MEF2C,Inhibit,Brain,"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, STEREOTYPIC HAND MOVEMENTS, AND IMPAIRED LANGUAGE"
MEIS2,Inhibit,Heart,"Cardiac Malformation, Cleft Lip-Palate, Microcephaly and Digital Anomalies"
MELK,Inhibit,Liver,"Carcinoma, Hepatocellular"
MEN1,Inhibit,Brain,Neuroendocrine Tumors
MEOX2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
MEOX2,Inhibit,Heart,Myocardial Ischemia
MET,Inhibit,Liver,"Carcinoma, Hepatocellular"
MET,Inhibit,Liver,Copper-Overload Cirrhosis
MET,Inhibit,Liver,Fatty Liver
MET,Inhibit,Liver,"Hepatitis, Chronic"
MET,Inhibit,Liver,Hepatomegaly
MET,Inhibit,Liver,"Liver Neoplasms, Experimental"
MET,Inhibit,Brain,Neuroblastoma
METRNL,Inhibit,Liver,"Liver Cirrhosis, Experimental"
METTL14,Inhibit,Heart,Cardiomyopathies
METTL14,Inhibit,Heart,Cardiotoxicity
METTL3,Inhibit,Liver,Fatty Liver
METTL3,Inhibit,Liver,Liver Cirrhosis
MFAP4,Inhibit,Liver,"Liver Cirrhosis, Experimental"
MFF,Inhibit,Heart,Myocardial Infarction
MFGE8,Inhibit,Liver,"Liver Neoplasms, Experimental"
MFN1,Inhibit,Brain,"Ceroid lipofuscinosis, neuronal 1, infantile"
MFN2,Inhibit,Heart,Cardiomegaly
MFN2,Inhibit,Brain,Hereditary Motor And Sensory Neuropathy VI
MFSD2A,Inhibit,Liver,"Carcinoma, Hepatocellular"
MFSD2A,Inhibit,Brain,"NEURODEVELOPMENTAL DISORDER WITH PROGRESSIVE MICROCEPHALY, SPASTICITY, AND BRAIN IMAGING ABNORMALITIES"
MFSD8,Inhibit,Brain,"Ceroid Lipofuscinosis, Neuronal, 7"
MGAT5,Inhibit,Liver,"Liver Cirrhosis, Experimental"
MGLL,Inhibit,Liver,Liver Cirrhosis
MGMT,Inhibit,Brain,Brain Neoplasms
MGMT,Inhibit,Liver,"Liver Cirrhosis, Experimental"
MGP,Inhibit,Liver,"Liver Cirrhosis, Experimental"
MGST1,Inhibit,Brain,Neurodegenerative Diseases
MIA3,Inhibit,Heart,Myocardial Infarction
MIAT,Inhibit,Heart,Myocardial Infarction
MICA,Inhibit,Liver,"Carcinoma, Hepatocellular"
MICAL2,Inhibit,Liver,Liver Cirrhosis
MID1IP1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
MINDY3,Inhibit,Liver,"Liver Cirrhosis, Experimental"
MIR100,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR100,Inhibit,Liver,Hepatitis B
MIR103-1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR106B,Inhibit,Heart,Heart Failure
MIR107,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR107,Inhibit,Heart,Heart Failure
MIR10A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR10A,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR10A,Inhibit,Heart,Myocardial Reperfusion Injury
MIR10B,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR10B,Inhibit,Liver,Fatty Liver
MIR10B,Inhibit,Heart,Myocardial Reperfusion Injury
MIR1-1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR122,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR122,Inhibit,Liver,Hepatitis B
MIR1246,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR1247,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR1249,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR125A,Inhibit,Heart,Heart Failure
MIR125A,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR125B1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR125B2,Inhibit,Heart,Cardiomegaly
MIR125B2,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR125B2,Inhibit,Heart,Endomyocardial Fibrosis
MIR125B2,Inhibit,Liver,Hepatitis B
MIR125B2,Inhibit,Heart,Myocardial Infarction
MIR126,Inhibit,Heart,Heart Failure
MIR126,Inhibit,Heart,Myocardial Reperfusion Injury
MIR1260A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR1260B,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR1268A,Inhibit,Heart,Heart Failure
MIR1273H,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR1275,Inhibit,Heart,Heart Failure
MIR1285-1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR1290,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR1291,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR1303,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR1304,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR1306,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR1307,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR130A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR130B,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR132,Inhibit,Brain,Brain Injuries
MIR132,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR133A2,Inhibit,Heart,Heart Failure
MIR134,Inhibit,Liver,Fatty Liver
MIR134,Inhibit,Heart,Myocardial Reperfusion Injury
MIR1343,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR137,Inhibit,Heart,Myocardial Reperfusion Injury
MIR139,Inhibit,Liver,Fatty Liver
MIR140,Inhibit,Heart,Heart Failure
MIR141,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR141,Inhibit,Liver,"Liver Cirrhosis, Alcoholic"
MIR142,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR142,Inhibit,Heart,Myocardial Reperfusion Injury
MIR143,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR144,Inhibit,Heart,Heart Failure
MIR145,Inhibit,Heart,Heart Failure
MIR145,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR145,Inhibit,Heart,Myocardial Infarction
MIR1468,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR1468,Inhibit,Liver,Hepatitis B
MIR148A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR148A,Inhibit,Heart,Heart Failure
MIR148A,Inhibit,Liver,Hepatitis B
MIR148A,Inhibit,Liver,Liver Neoplasms
MIR148B,Inhibit,Liver,Fatty Liver
MIR149,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR150,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR150,Inhibit,Liver,Fatty Liver
MIR150,Inhibit,Heart,Heart Failure
MIR151,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR151A,Inhibit,Heart,Heart Failure
MIR151B,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR152,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR153,Inhibit,Liver,Liver Cirrhosis
MIR153C,Inhibit,Brain,Neurobehavioral Manifestations
MIR154,Inhibit,Liver,Fatty Liver
MIR15A,Inhibit,Heart,Heart Failure
MIR15A,Inhibit,Heart,Myocardial Reperfusion Injury
MIR15B,Inhibit,Heart,Heart Failure
MIR17,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR17,Inhibit,Liver,Fatty Liver
MIR17,Inhibit,Heart,Heart Failure
MIR17,Inhibit,Liver,"Liver Cirrhosis, Alcoholic"
MIR181C,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR181C,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR181C,Inhibit,Heart,Myocardial Reperfusion Injury
MIR181D,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR183,Inhibit,Brain,Brain Injuries
MIR183,Inhibit,Liver,Fatty Liver
MIR183,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR183,Inhibit,Heart,Myocardial Reperfusion Injury
MIR186,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR186,Inhibit,Heart,Myocardial Reperfusion Injury
MIR188,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR188,Inhibit,Heart,Myocardial Reperfusion Injury
MIR18A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR18A,Inhibit,Heart,Heart Failure
MIR18A,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR18B,Inhibit,Heart,Heart Failure
MIR190A,Inhibit,Liver,Hepatitis B
MIR191,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR191,Inhibit,Heart,Heart Failure
MIR192,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR192,Inhibit,Liver,Hepatitis B
MIR192,Inhibit,Liver,Hepatomegaly
MIR193A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR193A,Inhibit,Heart,Myocardial Reperfusion Injury
MIR193B,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR193B,Inhibit,Heart,Heart Failure
MIR193B,Inhibit,Liver,Hepatitis B
MIR193B,Inhibit,Liver,"Liver Cirrhosis, Alcoholic"
MIR194-1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR194-2,Inhibit,Liver,Hepatitis B
MIR195,Inhibit,Heart,Heart Failure
MIR195,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR196B,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR196B,Inhibit,Heart,Myocardial Reperfusion Injury
MIR197,Inhibit,Liver,Fatty Liver
MIR197,Inhibit,Heart,Myocardial Reperfusion Injury
MIR19A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR19A,Inhibit,Heart,Heart Failure
MIR200B,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR200C,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR201,Inhibit,Heart,Myocardial Reperfusion Injury
MIR203,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR203,Inhibit,Liver,Liver Cirrhosis
MIR204,Inhibit,Liver,Hepatitis B
MIR206,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR206,Inhibit,Heart,Myocardial Reperfusion Injury
MIR207,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR207,Inhibit,Heart,Myocardial Reperfusion Injury
MIR208A,Inhibit,Heart,Cardiotoxicity
MIR20A,Inhibit,Heart,Heart Failure
MIR20B,Inhibit,Heart,Heart Failure
MIR20B,Inhibit,Heart,Myocardial Reperfusion Injury
MIR21,Inhibit,Heart,Cardiomegaly
MIR21,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR21,Inhibit,Heart,Heart Diseases
MIR21,Inhibit,Heart,Heart Failure
MIR21,Inhibit,Heart,Myocardial Reperfusion Injury
MIR210,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR210,Inhibit,Heart,Heart Failure
MIR212,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR215,Inhibit,Liver,Liver Cirrhosis
MIR217,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR218-1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR219A1,Inhibit,Liver,Fatty Liver
MIR22,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR221,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR221,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR222,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR23A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR23A,Inhibit,Heart,Heart Failure
MIR23B,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR23B,Inhibit,Heart,Myocardial Reperfusion Injury
MIR26A1,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR26B,Inhibit,Heart,Heart Failure
MIR26B,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR27A,Inhibit,Heart,Myocardial Reperfusion Injury
MIR27B,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR27B,Inhibit,Heart,Myocardial Reperfusion Injury
MIR28,Inhibit,Liver,Hepatitis B
MIR28,Inhibit,Heart,Myocardial Reperfusion Injury
MIR290,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR292,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR296,Inhibit,Heart,Myocardial Reperfusion Injury
MIR29A,Inhibit,Liver,Liver Cirrhosis
MIR29A,Inhibit,Liver,Liver Neoplasms
MIR29B2,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR29C,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR29C,Inhibit,Heart,Heart Failure
MIR29C,Inhibit,Liver,Liver Cirrhosis
MIR300,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR301A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR301A,Inhibit,Heart,Heart Failure
MIR301A,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR301B,Inhibit,Heart,Myocardial Reperfusion Injury
MIR302C,Inhibit,Liver,Liver Cirrhosis
MIR30A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR30A,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR30B,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR30B,Inhibit,Heart,Heart Failure
MIR30B,Inhibit,Liver,Liver Cirrhosis
MIR30B,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR30C-1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR30C-1,Inhibit,Liver,Liver Cirrhosis
MIR30C1,Inhibit,Heart,Myocardial Infarction
MIR30C1,Inhibit,Heart,Myocardial Reperfusion Injury
MIR30C2,Inhibit,Liver,Liver Cirrhosis
MIR30D,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR30E,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR3135B,Inhibit,Heart,Heart Failure
MIR320A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR320A,Inhibit,Liver,Fatty Liver
MIR324,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR326,Inhibit,Heart,Heart Failure
MIR327,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR327,Inhibit,Heart,Myocardial Reperfusion Injury
MIR328,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR330,Inhibit,Heart,Myocardial Reperfusion Injury
MIR331,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR331,Inhibit,Heart,Myocardial Reperfusion Injury
MIR335,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR335,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR335,Inhibit,Heart,Myocardial Reperfusion Injury
MIR336,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR337,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR337,Inhibit,Heart,Myocardial Reperfusion Injury
MIR338,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR338,Inhibit,Liver,"Liver Cirrhosis, Alcoholic"
MIR338,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR339,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR33B,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR340,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR342,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR342,Inhibit,Heart,Heart Failure
MIR345,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR345,Inhibit,Liver,Liver Cirrhosis
MIR346,Inhibit,Heart,Myocardial Reperfusion Injury
MIR347,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR349,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR34A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR34A,Inhibit,Liver,Fatty Liver
MIR34A,Inhibit,Heart,Heart Diseases
MIR34A,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR34C,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR34C,Inhibit,Heart,Myocardial Reperfusion Injury
MIR350,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR351,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR351,Inhibit,Heart,Myocardial Reperfusion Injury
MIR352,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR3591,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR361,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR361,Inhibit,Heart,Heart Failure
MIR361,Inhibit,Heart,Myocardial Reperfusion Injury
MIR3615,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR3615,Inhibit,Liver,"Liver Cirrhosis, Alcoholic"
MIR362,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR362,Inhibit,Heart,Myocardial Reperfusion Injury
MIR365A,Inhibit,Liver,Hepatitis B
MIR365B,Inhibit,Liver,Hepatitis B
MIR3663,Inhibit,Liver,"Carcinoma, Hepatocellular"
MIR367,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR369,Inhibit,Heart,Myocardial Reperfusion Injury
MIR374A,Inhibit,Heart,Heart Failure
MIR375,Inhibit,Heart,Myocardial Reperfusion Injury
MIR376A,Inhibit,Heart,Myocardial Reperfusion Injury
MIR376B,Inhibit,Heart,Myocardial Reperfusion Injury
MIR376C,Inhibit,Liver,Liver Cirrhosis
MIR378A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR378A,Inhibit,Liver,Hepatitis B
MIR378C,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR378F,Inhibit,Heart,Heart Failure
MIR378I,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR378I,Inhibit,Liver,Hepatitis B
MIR383,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR384,Inhibit,Heart,Cardiomegaly
MIR384,Inhibit,Liver,Fatty Liver
MIR409,Inhibit,Heart,Heart Failure
MIR409,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR410,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR410,Inhibit,Liver,Fatty Liver
MIR411,Inhibit,Heart,Myocardial Reperfusion Injury
MIR421,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR421,Inhibit,Liver,"Liver Cirrhosis, Alcoholic"
MIR423,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR423,Inhibit,Liver,"Liver Cirrhosis, Alcoholic"
MIR423,Inhibit,Heart,Myocardial Infarction
MIR429,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR429,Inhibit,Heart,Myocardial Reperfusion Injury
MIR433,Inhibit,Heart,Myocardial Reperfusion Injury
MIR4428,Inhibit,Heart,Heart Failure
MIR4433B,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR4448,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR4485,Inhibit,Heart,Heart Failure
MIR4492,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR4497,Inhibit,Heart,Heart Failure
MIR449C,Inhibit,Liver,Fatty Liver
MIR4507,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR4516,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR451A,Inhibit,Heart,Myocardial Reperfusion Injury
MIR452,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR452,Inhibit,Heart,Myocardial Reperfusion Injury
MIR454,Inhibit,Heart,Heart Failure
MIR455,Inhibit,Liver,"Carcinoma, Hepatocellular"
MIR455,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR455,Inhibit,Liver,Hepatitis B
MIR463,Inhibit,Liver,Fatty Liver
MIR4721,Inhibit,Heart,Heart Failure
MIR4732,Inhibit,Heart,Heart Failure
MIR483,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR483,Inhibit,Liver,"Liver Cirrhosis, Alcoholic"
MIR483,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR484,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR484,Inhibit,Heart,Heart Failure
MIR484,Inhibit,Liver,"Liver Cirrhosis, Alcoholic"
MIR493,Inhibit,Heart,Myocardial Reperfusion Injury
MIR494,Inhibit,Heart,Heart Failure
MIR497,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR497,Inhibit,Brain,Diabetic Neuropathies
MIR499A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR500,Inhibit,Heart,Myocardial Reperfusion Injury
MIR503,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR503,Inhibit,Liver,Fatty Liver
MIR503,Inhibit,Liver,Liver Cirrhosis
MIR503,Inhibit,Heart,Myocardial Reperfusion Injury
MIR505,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR505,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR5099,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR5189,Inhibit,Heart,Heart Failure
MIR5196,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR520B,Inhibit,Liver,"Carcinoma, Hepatocellular"
MIR532,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR532,Inhibit,Heart,Heart Failure
MIR532,Inhibit,Liver,"Liver Cirrhosis, Alcoholic"
MIR532,Inhibit,Heart,Myocardial Reperfusion Injury
MIR539,Inhibit,Liver,"Carcinoma, Hepatocellular"
MIR539,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR542,Inhibit,Liver,Fatty Liver
MIR542,Inhibit,Heart,Myocardial Reperfusion Injury
MIR5588,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR574,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR574,Inhibit,Heart,Heart Failure
MIR5787,Inhibit,Heart,Heart Failure
MIR582,Inhibit,Heart,Myocardial Reperfusion Injury
MIR589,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR589,Inhibit,Liver,"Liver Cirrhosis, Alcoholic"
MIR590,Inhibit,Heart,Heart Failure
MIR592,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR598,Inhibit,Liver,"Liver Neoplasms, Experimental"
MIR598,Inhibit,Heart,Myocardial Reperfusion Injury
MIR6125,Inhibit,Heart,Heart Failure
MIR6132,Inhibit,Heart,Heart Failure
MIR615,Inhibit,Liver,"Carcinoma, Hepatocellular"
MIR625,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR627,Inhibit,Liver,Chemical and Drug Induced Liver Injury
MIR629,Inhibit,Liver,Chemical and Drug Induced Liver Injury
