Enzyme,Action,Target_Organ,Next_Step
ALB,Inhibit,Liver,"Liver Cirrhosis, Biliary"
ALB,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ALB,Inhibit,Liver,"Liver Failure, Acute"
ALB,Inhibit,Heart,Myocardial Reperfusion Injury
ALDH1A1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ALDH1A1,Inhibit,Liver,Liver Diseases
ALDH1A1,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
ALDH1A7,Inhibit,Heart,Heart Failure
ALDH1A7,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ALDH1B1,Inhibit,Liver,Hepatomegaly
ALDH1B1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ALDH1B1,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
ALDH1L1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ALDH1L2,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ALDH1L2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ALDH2,Inhibit,Heart,Heart Injuries
ALDH2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ALDH2,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
ALDH4A1,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
ALDH5A1,Inhibit,Brain,"Brain Diseases, Metabolic"
ALDH5A1,Inhibit,Brain,Neurologic Manifestations
ALDH6A1,Inhibit,Heart,Myocardial Ischemia
ALDH9A1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ALDOA,Inhibit,Heart,Myocardial Ischemia
ALDOB,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ALDOB,Inhibit,Liver,"Hepatitis, Autoimmune"
ALG13,Inhibit,Brain,Neurodevelopmental Disorders
ALK,Inhibit,Brain,Brain Neoplasms
ALK,Inhibit,Brain,Neuroblastoma
ALMS1,Inhibit,Heart,"Cardiomyopathy, Dilated"
ALOX15,Inhibit,Heart,"Heart Failure, Diastolic"
ALOX5,Inhibit,Brain,"Infarction, Middle Cerebral Artery"
ALOX5AP,Inhibit,Liver,Liver Diseases
ALOX5AP,Inhibit,Brain,Neurotoxicity Syndromes
ALPL,Inhibit,Liver,Liver Diseases
AMACR,Inhibit,Brain,Hereditary Sensory and Motor Neuropathy
AMACR,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AMACR,Inhibit,Liver,Liver Diseases
AMBP,Inhibit,Liver,Chemical and Drug Induced Liver Injury
AMN,Inhibit,Brain,Neurogenic Inflammation
AMOT,Inhibit,Brain,Brain Neoplasms
